nume_actiune,timestamp,thread
loadCandidati,23-06-2022 16:32:34,20
findExamen,23-06-2022 16:32:34,20
loadExamene,23-06-2022 16:32:34,20
loadCandidati,23-06-2022 16:32:34,20
findFacultate,23-06-2022 16:32:34,20
loadFacultati,23-06-2022 16:32:34,20
findExamen,23-06-2022 16:32:34,20
loadExamene,23-06-2022 16:32:34,20
loadCandidati,23-06-2022 16:32:34,20
findExamen,23-06-2022 16:32:34,20
loadExamene,23-06-2022 16:32:34,20
loadCandidati,23-06-2022 16:32:34,20
findFacultate,23-06-2022 16:32:34,20
loadFacultati,23-06-2022 16:32:34,20
findExamen,23-06-2022 16:32:34,20
loadExamene,23-06-2022 16:32:34,20
loadCandidati,23-06-2022 16:32:34,20
findExamen,23-06-2022 16:32:34,20
loadExamene,23-06-2022 16:32:34,20
loadCandidati,23-06-2022 16:32:34,20
changeFacultate,23-06-2022 16:35:03,20
loadFacultati,23-06-2022 16:35:03,20
findExamen,23-06-2022 16:35:03,20
loadExamene,23-06-2022 16:35:03,20
loadCandidati,23-06-2022 16:35:03,20
findExamen,23-06-2022 16:35:03,20
loadExamene,23-06-2022 16:35:03,20
loadCandidati,23-06-2022 16:35:03,20
findFacultate,23-06-2022 16:35:03,20
loadFacultati,23-06-2022 16:35:03,20
findExamen,23-06-2022 16:35:03,20
loadExamene,23-06-2022 16:35:03,20
loadCandidati,23-06-2022 16:35:03,20
findExamen,23-06-2022 16:35:03,20
loadExamene,23-06-2022 16:35:03,20
loadCandidati,23-06-2022 16:35:03,20
findFacultate,23-06-2022 16:35:03,20
loadFacultati,23-06-2022 16:35:03,20
findExamen,23-06-2022 16:35:03,20
loadExamene,23-06-2022 16:35:03,20
loadCandidati,23-06-2022 16:35:03,20
findExamen,23-06-2022 16:35:03,20
loadExamene,23-06-2022 16:35:03,20
loadCandidati,23-06-2022 16:35:03,20
isProfesor,23-06-2022 16:45:32,18
loadProfesori,23-06-2022 16:45:32,18
findFacultate,23-06-2022 16:45:38,18
loadFacultati,23-06-2022 16:45:38,18
findExamen,23-06-2022 16:45:38,18
loadExamene,23-06-2022 16:45:38,18
loadCandidati,23-06-2022 16:45:38,18
findExamen,23-06-2022 16:45:38,18
loadExamene,23-06-2022 16:45:38,18
loadCandidati,23-06-2022 16:45:38,18
findFacultate,23-06-2022 16:45:53,18
loadFacultati,23-06-2022 16:45:53,18
findExamen,23-06-2022 16:45:53,18
loadExamene,23-06-2022 16:45:53,18
loadCandidati,23-06-2022 16:45:53,18
findExamen,23-06-2022 16:45:53,18
loadExamene,23-06-2022 16:45:53,18
loadCandidati,23-06-2022 16:45:53,18
findFacultate,23-06-2022 16:46:07,18
loadFacultati,23-06-2022 16:46:07,18
findExamen,23-06-2022 16:46:07,18
loadExamene,23-06-2022 16:46:07,18
loadCandidati,23-06-2022 16:46:07,18
findExamen,23-06-2022 16:46:07,18
loadExamene,23-06-2022 16:46:07,18
loadCandidati,23-06-2022 16:46:07,18
findExamen,23-06-2022 16:46:11,18
loadExamene,23-06-2022 16:46:11,18
findFacultate,23-06-2022 16:46:16,18
loadFacultati,23-06-2022 16:46:16,18
findExamen,23-06-2022 16:46:16,18
loadExamene,23-06-2022 16:46:16,18
loadCandidati,23-06-2022 16:46:16,18
findExamen,23-06-2022 16:46:16,18
loadExamene,23-06-2022 16:46:16,18
loadCandidati,23-06-2022 16:46:16,18
changeCandidat,23-06-2022 16:46:38,18
loadCandidati,23-06-2022 16:46:38,18
findFacultate,23-06-2022 16:46:38,18
loadFacultati,23-06-2022 16:46:38,18
findExamen,23-06-2022 16:46:38,18
loadExamene,23-06-2022 16:46:38,18
loadCandidati,23-06-2022 16:46:38,18
findExamen,23-06-2022 16:46:38,18
loadExamene,23-06-2022 16:46:38,18
loadCandidati,23-06-2022 16:46:38,18
findFacultate,23-06-2022 16:46:38,18
loadFacultati,23-06-2022 16:46:38,18
findExamen,23-06-2022 16:46:38,18
loadExamene,23-06-2022 16:46:38,18
loadCandidati,23-06-2022 16:46:38,18
findExamen,23-06-2022 16:46:38,18
loadExamene,23-06-2022 16:46:38,18
loadCandidati,23-06-2022 16:46:38,18
findFacultate,23-06-2022 16:46:40,18
loadFacultati,23-06-2022 16:46:40,18
findExamen,23-06-2022 16:46:40,18
loadExamene,23-06-2022 16:46:40,18
loadCandidati,23-06-2022 16:46:40,18
findExamen,23-06-2022 16:46:40,18
loadExamene,23-06-2022 16:46:40,18
loadCandidati,23-06-2022 16:46:40,18
isCandidat,23-06-2022 16:50:12,18
loadCandidati,23-06-2022 16:50:12,18
findFacultate,23-06-2022 16:50:14,18
loadFacultati,23-06-2022 16:50:14,18
findExamen,23-06-2022 16:50:14,18
loadExamene,23-06-2022 16:50:14,18
loadCandidati,23-06-2022 16:50:14,18
findExamen,23-06-2022 16:50:14,18
loadExamene,23-06-2022 16:50:14,18
loadCandidati,23-06-2022 16:50:14,18
findFacultate,23-06-2022 16:50:14,18
loadFacultati,23-06-2022 16:50:14,18
findExamen,23-06-2022 16:50:14,18
loadExamene,23-06-2022 16:50:14,18
loadCandidati,23-06-2022 16:50:14,18
findExamen,23-06-2022 16:50:14,18
loadExamene,23-06-2022 16:50:14,18
loadCandidati,23-06-2022 16:50:14,18
findFacultate,23-06-2022 16:50:14,18
loadFacultati,23-06-2022 16:50:14,18
findExamen,23-06-2022 16:50:14,18
loadExamene,23-06-2022 16:50:14,18
loadCandidati,23-06-2022 16:50:14,18
findExamen,23-06-2022 16:50:14,18
loadExamene,23-06-2022 16:50:14,18
loadCandidati,23-06-2022 16:50:14,18
findFacultate,23-06-2022 16:50:14,18
loadFacultati,23-06-2022 16:50:14,18
findExamen,23-06-2022 16:50:14,18
loadExamene,23-06-2022 16:50:14,18
loadCandidati,23-06-2022 16:50:14,18
findExamen,23-06-2022 16:50:14,18
loadExamene,23-06-2022 16:50:14,18
loadCandidati,23-06-2022 16:50:14,18
findFacultate,23-06-2022 16:50:14,18
loadFacultati,23-06-2022 16:50:14,18
findExamen,23-06-2022 16:50:14,18
loadExamene,23-06-2022 16:50:14,18
loadCandidati,23-06-2022 16:50:14,18
findExamen,23-06-2022 16:50:14,18
loadExamene,23-06-2022 16:50:14,18
loadCandidati,23-06-2022 16:50:14,18
findFacultate,23-06-2022 16:50:14,18
loadFacultati,23-06-2022 16:50:14,18
findExamen,23-06-2022 16:50:14,18
loadExamene,23-06-2022 16:50:14,18
loadCandidati,23-06-2022 16:50:14,18
findExamen,23-06-2022 16:50:14,18
loadExamene,23-06-2022 16:50:14,18
loadCandidati,23-06-2022 16:50:14,18
isCandidat,23-06-2022 16:59:20,18
loadCandidati,23-06-2022 16:59:20,18
findFacultate,23-06-2022 16:59:22,18
loadFacultati,23-06-2022 16:59:22,18
findExamen,23-06-2022 16:59:22,18
loadExamene,23-06-2022 16:59:22,18
loadCandidati,23-06-2022 16:59:22,18
findExamen,23-06-2022 16:59:22,18
loadExamene,23-06-2022 16:59:22,18
loadCandidati,23-06-2022 16:59:22,18
findFacultate,23-06-2022 16:59:22,18
loadFacultati,23-06-2022 16:59:22,18
findExamen,23-06-2022 16:59:22,18
loadExamene,23-06-2022 16:59:22,18
loadCandidati,23-06-2022 16:59:22,18
findExamen,23-06-2022 16:59:22,18
loadExamene,23-06-2022 16:59:22,18
loadCandidati,23-06-2022 16:59:22,18
findFacultate,23-06-2022 16:59:22,18
loadFacultati,23-06-2022 16:59:22,18
findExamen,23-06-2022 16:59:22,18
loadExamene,23-06-2022 16:59:22,18
loadCandidati,23-06-2022 16:59:22,18
findExamen,23-06-2022 16:59:22,18
loadExamene,23-06-2022 16:59:22,18
loadCandidati,23-06-2022 16:59:22,18
findFacultate,23-06-2022 16:59:22,18
loadFacultati,23-06-2022 16:59:22,18
findExamen,23-06-2022 16:59:22,18
loadExamene,23-06-2022 16:59:22,18
loadCandidati,23-06-2022 16:59:22,18
findExamen,23-06-2022 16:59:22,18
loadExamene,23-06-2022 16:59:22,18
loadCandidati,23-06-2022 16:59:22,18
findFacultate,23-06-2022 16:59:22,18
loadFacultati,23-06-2022 16:59:22,18
findExamen,23-06-2022 16:59:22,18
loadExamene,23-06-2022 16:59:22,18
loadCandidati,23-06-2022 16:59:22,18
findExamen,23-06-2022 16:59:22,18
loadExamene,23-06-2022 16:59:22,18
loadCandidati,23-06-2022 16:59:22,18
findFacultate,23-06-2022 16:59:22,18
loadFacultati,23-06-2022 16:59:22,18
findExamen,23-06-2022 16:59:22,18
loadExamene,23-06-2022 16:59:22,18
loadCandidati,23-06-2022 16:59:22,18
findExamen,23-06-2022 16:59:22,18
loadExamene,23-06-2022 16:59:22,18
loadCandidati,23-06-2022 16:59:22,18
isCandidat,23-06-2022 17:02:42,18
loadCandidati,23-06-2022 17:02:42,18
isCandidat,23-06-2022 17:02:51,18
loadCandidati,23-06-2022 17:02:51,18
isCandidat,23-06-2022 17:03:04,18
loadCandidati,23-06-2022 17:03:04,18
isCandidat,23-06-2022 17:03:22,18
loadCandidati,23-06-2022 17:03:22,18
isCandidat,23-06-2022 17:03:38,18
loadCandidati,23-06-2022 17:03:38,18
findFacultate,23-06-2022 17:03:40,18
loadFacultati,23-06-2022 17:03:40,18
findExamen,23-06-2022 17:03:40,18
loadExamene,23-06-2022 17:03:40,18
loadCandidati,23-06-2022 17:03:40,18
findExamen,23-06-2022 17:03:40,18
loadExamene,23-06-2022 17:03:40,18
loadCandidati,23-06-2022 17:03:40,18
findFacultate,23-06-2022 17:03:40,18
loadFacultati,23-06-2022 17:03:40,18
findExamen,23-06-2022 17:03:40,18
loadExamene,23-06-2022 17:03:40,18
loadCandidati,23-06-2022 17:03:40,18
findExamen,23-06-2022 17:03:40,18
loadExamene,23-06-2022 17:03:40,18
